rating,content,class,content_clean,content_clean_pt,length,positive_count,negative_count,class_new
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. lưu ý giờ giao hàng khi khách hàng yêu cầu!,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh lưu ý giờ giao hàng khi khách hàng yêu cầu,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ lưu_ý giờ giao_hàng khách_hàng,157,3,0,1
5,Sản phẩm tốt !,1,sản phẩm tốt,sản_phẩm_tốt,12,1,0,1
5,đóng góp kĩ. giao hàng nhanh,1,đóng góp kĩ giao hàng nhanh,đóng_góp kĩ_giao_hàng,27,0,0,1
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Gửi sản phẩm/vé dịch vụ nhanh.,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi gửi sản phẩm vé dịch vụ nhanh,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi gửi_sản_phẩm vé_dịch_vụ,78,2,0,1
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh.,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ,114,3,0,1
5,Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh.,1,chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh,chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ,65,1,0,1
5,Đẹp như mô tả. Chất lượng tuyệt vời.,1,đẹp như mô tả chất lượng tuyệt vời,đẹp như_mô_tả chất_lượng_tuyệt_vời,34,3,0,1
5,Đẹp như mô tả. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ.,1,đẹp như mô tả chất lượng tuyệt vời giá tốt giao hàng nhanh bất ngờ,đẹp như_mô_tả chất_lượng_tuyệt_vời giá_tốt giao_hàng,66,4,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh.",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi shop tư vấn hướng dẫn cực kỳ nhiệt tình chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ,154,4,0,1
4,Sản phẩm/dịch vụ giống mô tả. Gửi sản phẩm/vé dịch vụ nhanh.,1,sản phẩm dịch vụ giống mô tả gửi sản phẩm vé dịch vụ nhanh,sản_phẩm_dịch_vụ_giống_mô_tả gửi_sản_phẩm vé_dịch_vụ,58,1,0,1
2,"Sản phẩm hơi khác mô tả. Mua 11 loc may mà trả đuọc 3.Giấy 1 lớp thì nhiều 4 lớp ít thấy, bong rời, rách , bẩn, nhận 8 lốc mà khui 4 loc xem da như thế này, đã được đền trả 30k nên cho qua. Không giám ham rẻ .",0,sản phẩm hơi khác mô tả mua 11 loc may mà trả đuọc 3 giấy 1 lớp thì nhiều 4 lớp ít thấy bong rời rách bẩn nhận 8 lốc mà khui 4 loc xem da như thế này đã được đền trả 30k nên cho qua không giám ham rẻ,sản_phẩm_khác_mô_tả đuọc giấy lớp lớp rời rách bẩn lốc đền ngàn không_giám_ham rẻ,203,0,3,0
1,sản phẩm giấy lót xu này giống của hiền trang loại này không có chữ của hiền trang in trên mép miếng lót hàng này là hàng nhái hai hình túi chữ đã thấy khác nhau hoàn toàn hình ảnh 1 là mới mua còn hình 2 là mua đã dùng hết tóm lại là hàng nhái,0,sản phẩm giấy lót xu này giống của hiền trang loại này không có chữ của hiền trang in trên mép miếng lót hàng này là hàng nhái hai hình túi chữ đã thấy khác nhau hoàn toàn hình ảnh 1 là mới mua còn hình 2 là mua đã dùng hết tóm lại là hàng nhái,sản_phẩm giấy lót xu_giống hiền_trang chữ hiền_trang mép miếng lót hàng hàng nhái hình túi chữ hình_ảnh hình hết_tóm_lại hàng nhái,244,0,0,0
4,Mình mua ở ngoài nhưng chất lượng ko thế này đâu. Đắt hơn thật nhưng đúng là tiền nào của nấy các mẹ nhé,1,mình mua ở ngoài nhưng chất lượng ko thế này đâu đắt hơn thật nhưng đúng là tiền nào của nấy các mẹ nhé,chất_lượng không_thế đắt tiền mẹ,106,0,0,1
5,shop nhiệt tình.. giao hàng nhanh sp tốt giá lại rẻ ..mình mua 5 bịch lại còn dk Shop tặng thêm cho 3 gói nhỏ nữa ..cảm ơn Shop nhiều,1,shop nhiệt tình giao hàng nhanh sp tốt giá lại rẻ mình mua 5 bịch lại còn dk shop tặng thêm cho 3 gói nhỏ nữa cảm ơn shop nhiều,cửa_hàng_nhiệt_tình giao_hàng sản_phẩm_tốt giá rẻ bịch cửa_hàng tặng gói cửa_hàng,135,2,0,1
1,Thái độ phục vụ của Shop rất kém/Shop không hỗ trợ sử dụng dịch vụ. Thái độ như bọn vô học Hối hận khi lỡ lấy hàng của bọn mày,0,thái độ phục vụ của shop rất kém shop không hỗ trợ sử dụng dịch vụ thái độ như bọn vô học hối hận khi lỡ lấy hàng của bọn mày,thái_độ phục_vụ cửa_hàng_kém cửa_hàng_không_hỗ_trợ dịch_vụ thái_độ bọn vô_học hối_hận lỡ hàng bọn mày,125,0,2,0
5,muốn mua thêm mà không biết shop còn sale giá như trên k ạ,1,muốn mua thêm mà không biết shop còn sale giá như trên k ạ,cửa_hàng sale_giá không_ạ,62,0,0,1
3,ta lót mình đặt 2 gói. số lươnhj là 200 miếng mà thiếu 15 miếng. còn khăn giấy ghi số lượng 300 tờ mà 1 bi khoang 135 tờ thôi. chưa đc 1 nữa,0,ta lót mình đặt 2 gói số lươnhj là 200 miếng mà thiếu 15 miếng còn khăn giấy ghi số lượng 300 tờ mà 1 bi khoang 135 tờ thôi chưa đc 1 nữa,lót gói lươnhj miếng miếng khăn giấy số_lượng tờ bi_khoang tờ chưa_được,139,0,1,0
1,"Giấy chất lượng kém...., đã từng mua giấy hiền trang, nhưng khi nhận sản phẩm của Shop này... ôi thôi , giấy thì dơ, mỏng manh, bao vì thì nhái hiền trang cũng mong nốt,giấy k đủ 300 tờ, đếm thấy có 135 tờ,gian dối hết sức, định tính mua 10 gói nhưng mua thử 4 gói xem sao may k thì ôm cục tức rồi ????☹️☹️☹️☹️☹️☹️",0,giấy chất lượng kém đã từng mua giấy hiền trang nhưng khi nhận sản phẩm của shop này ôi thôi giấy thì dơ mỏng manh bao vì thì nhái hiền trang cũng mong nốt giấy k đủ 300 tờ đếm thấy có 135 tờ gian dối hết sức định tính mua 10 gói nhưng mua thử 4 gói xem sao may k thì ôm cục tức rồi buồn buồn buồn buồn buồn buồn,giấy chất_lượng_kém giấy hiền_trang sản_phẩm cửa_hàng ôi giấy dơ mỏng_manh nhái hiền_trang nốt giấy không_đủ tờ đếm tờ gian_dối hết_sức định_tính gói thử gói không_ôm cục tức buồn_buồn buồn_buồn buồn_buồn,320,0,4,0
3,miếng lót qúa tệ. kít k dính lại với nhau. chưa dùng mà đã bị hở lộ lớp giấy phía trong,0,miếng lót qúa tệ kít k dính lại với nhau chưa dùng mà đã bị hở lộ lớp giấy phía trong,miếng lót tệ_kít không_dính hở_lộ lớp giấy,89,0,0,0
5,sp tot.nhung k dung so luong nhu ban dau.35k gom 100 tam.ma luk nhan hang co 90 tam,1,sp tot nhung k dung so luong nhu ban dau 35k gom 100 tam ma luk nhan hang co 90 tam,sản_phẩm_tốt không_đúng số_lượng nhu_ban ngàn tam_ma nhan_hang,97,1,1,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. tốt",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình tốt,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình tốt,158,5,0,1
5,Giá tốt.,1,giá tốt,giá_tốt,7,1,0,1
5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời.",1,chuyên nghiệp thân thiện đẹp như mô tả đóng gói kỹ lưỡng chất lượng tuyệt vời,chuyên_nghiệp thân_thiện đẹp như_mô_tả đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời,77,6,0,1
4,Sản phẩm/dịch vụ giống mô tả. Chất lượng sản phẩm/dịch vụ khá tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop phục vụ khá tốt. shop giao hang dung han. tu van nhiệt tình,1,sản phẩm dịch vụ giống mô tả chất lượng sản phẩm dịch vụ khá tốt gửi sản phẩm vé dịch vụ nhanh shop phục vụ khá tốt shop giao hang dung han tu van nhiệt tình,sản_phẩm_dịch_vụ_giống_mô_tả chất_lượng sản_phẩm_dịch_vụ_tốt gửi_sản_phẩm vé_dịch_vụ cửa_hàng phục_vụ_tốt cửa_hàng hang_dung tu_van nhiệt_tình,157,4,0,1
5,Chất lượng sản phẩm/dịch vụ rất tốt.,1,chất lượng sản phẩm dịch vụ rất tốt,chất_lượng sản_phẩm_dịch_vụ_rất_tốt,35,1,0,1
5,"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giao hàng nhanh bất ngờ. Hàng đúng với mô tả, phù hợp giá tiền, giao hàng nhanh",1,chuyên nghiệp thân thiện đóng gói kỹ lưỡng chất lượng tuyệt vời giao hàng nhanh bất ngờ hàng đúng với mô tả phù hợp giá tiền giao hàng nhanh,chuyên_nghiệp thân_thiện đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời giao_hàng hàng mô_tả giá tiền giao_hàng,140,4,0,1
5,"Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. giao hang nhanh. khăn ko đúng số lượng shop nó",1,gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình giao hang nhanh khăn ko đúng số lượng shop nó,gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình khăn không_đúng số_lượng cửa_hàng,118,1,1,1
5,"Chuyên nghiệp, thân thiện. Đóng gói kỹ lưỡng. Giấy dùng OK a",1,chuyên nghiệp thân thiện đóng gói kỹ lưỡng giấy dùng ok a,chuyên_nghiệp thân_thiện đóng_gói_kỹ_lưỡng giấy ổn,57,4,0,1
5,hàng đẹp giấy trắng có tem chống giả lại được shop Tặng thêm đồ chúc Shop buôn may bán đắt nếu có lần sau em sẽ sẽ ủng hộ tiếp,1,hàng đẹp giấy trắng có tem chống giả lại được shop tặng thêm đồ chúc shop buôn may bán đắt nếu có lần sau em sẽ sẽ ủng hộ tiếp,hàng_đẹp giấy trắng chống giả cửa_hàng tặng đồ chúc cửa_hàng buôn đắt ủng_hộ tiếp,126,1,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. rất ok",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình rất ok,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình ổn,161,5,0,1
5,"giao hàng nhanh, chủ shop nhiệt tình tư vấn cẩn thận. rất hài lòng",1,giao hàng nhanh chủ shop nhiệt tình tư vấn cẩn thận rất hài lòng,giao_hàng chủ cửa_hàng_nhiệt_tình tư_vấn_cẩn_thận hài_lòng,64,2,0,1
5,"shop dán băng keo lên sp nên tháo ra bị rách bọc rồi, nhưng vẫn cho 5*",1,shop dán băng keo lên sp nên tháo ra bị rách bọc rồi nhưng vẫn cho 5*,cửa_hàng dán băng sản_phẩm tháo rách_bọc _sao,78,1,0,1
5,chất lượng sản phẩm tốt giấy dai nhưng túi nhỏ,1,chất lượng sản phẩm tốt giấy dai nhưng túi nhỏ,chất_lượng sản_phẩm_tốt giấy dai_túi,46,1,0,1
5,Gửi sản phẩm/vé dịch vụ nhanh. sản phẩm giống mô tả,1,gửi sản phẩm vé dịch vụ nhanh sản phẩm giống mô tả,gửi_sản_phẩm vé_dịch_vụ sản_phẩm_giống_mô_tả,50,1,0,1
5,Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt.,1,đẹp như mô tả đóng gói kỹ lưỡng chất lượng tuyệt vời giá tốt,đẹp như_mô_tả đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời giá_tốt,60,5,0,1
5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt.",1,chuyên nghiệp thân thiện đẹp như mô tả đóng gói kỹ lưỡng chất lượng tuyệt vời giá tốt,chuyên_nghiệp thân_thiện đẹp như_mô_tả đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời giá_tốt,85,7,0,1
5,Đẹp như mô tả. Đóng gói kỹ lưỡng. Giá tốt.,1,đẹp như mô tả đóng gói kỹ lưỡng giá tốt,đẹp như_mô_tả đóng_gói_kỹ_lưỡng giá_tốt,39,4,0,1
4,tạm ổn,1,tạm ổn,tạm ổn,6,1,0,1
5,Đóng gói kỹ lưỡng. Chất lượng tuyệt vời.,1,đóng gói kỹ lưỡng chất lượng tuyệt vời,đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời,38,2,0,1
5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ. dung hinh anh quang cao,San Pham tot,dong goi ok",1,chuyên nghiệp thân thiện đẹp như mô tả đóng gói kỹ lưỡng chất lượng tuyệt vời giá tốt giao hàng nhanh bất ngờ dung hinh anh quang cao san pham tot dong goi ok,chuyên_nghiệp thân_thiện đẹp như_mô_tả đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời giá_tốt giao_hàng nhanh_dung cao_sản_phẩm tốt ổn,158,9,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. giá tốt",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình giá tốt,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình giá_tốt,162,5,0,1
5,Đóng gói kỹ lưỡng. Giao hàng nhanh bất ngờ.,1,đóng gói kỹ lưỡng giao hàng nhanh bất ngờ,đóng_gói_kỹ_lưỡng giao_hàng,41,1,0,1
3,Đóng gói kỹ.,0,đóng gói kỹ,đóng_gói_kỹ,11,1,0,1
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt.,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt,84,3,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. sản phẩm ok,check mã vạch được.giá rẻ mọi người nên mua.",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt sản phẩm ok check mã vạch được giá rẻ mọi người nên mua,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt sản_phẩm_ổn check_mã vạch_giá_rẻ,140,4,0,1
5,hàng tốt shop phục vụ tốt giao hàng nhanh,1,hàng tốt shop phục vụ tốt giao hàng nhanh,hàng_tốt cửa_hàng phục_vụ_tốt giao_hàng,41,2,0,1
5,"giá ok, rất tiện lợi khi sử dụng nhé!",1,giá ok rất tiện lợi khi sử dụng nhé,giá_ổn tiện_lợi,35,2,0,1
3,Ko du 300 to nhung da nhieu hon shop khac,0,ko du 300 to nhung da nhieu hon shop khac,không_du to_nhung nhieu_hon cửa_hàng,44,0,0,0
5,"Chuyên nghiệp, thân thiện. Đẹp như mô tả. Đóng gói kỹ lưỡng. Chất lượng tuyệt vời. Giá tốt. Giao hàng nhanh bất ngờ.",1,chuyên nghiệp thân thiện đẹp như mô tả đóng gói kỹ lưỡng chất lượng tuyệt vời giá tốt giao hàng nhanh bất ngờ,chuyên_nghiệp thân_thiện đẹp như_mô_tả đóng_gói_kỹ_lưỡng chất_lượng_tuyệt_vời giá_tốt giao_hàng,109,7,0,1
5,"Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",1,gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình,gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình,69,1,0,1
5,Đẹp như mô tả. Giá tốt.,1,đẹp như mô tả giá tốt,đẹp như_mô_tả giá_tốt,21,3,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình.",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi shop tư vấn hướng dẫn cực kỳ nhiệt tình,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình,88,3,0,1
2,giao hàng quá lâu. gần 10 ngày mới có hàng. thực sự nay ship gọi giao hàng đã hủy k nhận đơn nhưng r gọi lại cho ship vì nghĩ mất công shop vs ship,0,giao hàng quá lâu gần 10 ngày mới có hàng thực sự nay ship gọi giao hàng đã hủy k nhận đơn nhưng r gọi lại cho ship vì nghĩ mất công shop vs ship,giao_hàng hàng giao_hàng giao_hàng hủy đơn giao_hàng mất_công_cửa_hàng giao_hàng,167,0,0,0
4,Chất lượng sản phẩm/dịch vụ khá tốt. Đóng gói chắc chắn,1,chất lượng sản phẩm dịch vụ khá tốt đóng gói chắc chắn,chất_lượng sản_phẩm_dịch_vụ_tốt đóng_gói,54,1,0,1
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. tốt,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi tốt,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi tốt,52,3,0,1
5,giao hang rat nhanh,1,giao hang rat nhanh,,19,0,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. Gửi sản phẩm/vé dịch vụ nhanh.",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt shop tư vấn hướng dẫn cực kỳ nhiệt tình gửi sản phẩm vé dịch vụ nhanh,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình gửi_sản_phẩm vé_dịch_vụ,154,4,0,1
4,Chất lượng tốt. Đúng mô tả.,1,chất lượng tốt đúng mô tả,chất_lượng_tốt đúng_mô_tả,25,2,0,1
4,Sản phẩm/dịch vụ giống mô tả. Chất lượng sản phẩm/dịch vụ khá tốt. Gửi sản phẩm/vé dịch vụ nhanh.,1,sản phẩm dịch vụ giống mô tả chất lượng sản phẩm dịch vụ khá tốt gửi sản phẩm vé dịch vụ nhanh,sản_phẩm_dịch_vụ_giống_mô_tả chất_lượng sản_phẩm_dịch_vụ_tốt gửi_sản_phẩm vé_dịch_vụ,94,2,0,1
5,Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Gửi sản phẩm/vé dịch vụ nhanh. tã dày. thấm hút tốt. có mùi thơm. lần sau sẽ ủng hộ tiếp ???,1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi gửi sản phẩm vé dịch vụ nhanh tã dày thấm hút tốt có mùi thơm lần sau sẽ ủng hộ tiếp,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi gửi_sản_phẩm vé_dịch_vụ tã dày thấm hút tốt mùi thơm ủng_hộ tiếp,133,3,0,1
5,"Sản phẩm/dịch vụ giống mô tả và tốt hơn mong đợi. Chất lượng sản phẩm/dịch vụ rất tốt. Gửi sản phẩm/vé dịch vụ nhanh. Shop tư vấn, hướng dẫn cực kỳ nhiệt tình. Tã xài ok, hình ảnh dễ thương. Thấm hút không bằng huggie, bị ướt mông dù có tã",1,sản phẩm dịch vụ giống mô tả và tốt hơn mong đợi chất lượng sản phẩm dịch vụ rất tốt gửi sản phẩm vé dịch vụ nhanh shop tư vấn hướng dẫn cực kỳ nhiệt tình tã xài ok hình ảnh dễ thương thấm hút không bằng huggie bị ướt mông dù có tã,sản_phẩm_dịch_vụ_giống_mô_tả tốt_hơn_mong_đợi chất_lượng sản_phẩm_dịch_vụ_rất_tốt gửi_sản_phẩm vé_dịch_vụ cửa_hàng tư_vấn hướng_dẫn_nhiệt_tình tã xài ổn hình_ảnh dễ_thương thấm_hút không_bằng huggie ướt mông tã,231,5,1,1
3,thông tin flash sale là combo 2 bịch nhưng khi giao chỉ có 1 bịch.,0,thông tin flash sale là combo 2 bịch nhưng khi giao chỉ có 1 bịch,thông_tin bịch bịch,65,0,0,0
5,lần sau cần để hàng sạch sẽ tốt hơn,1,lần sau cần để hàng sạch sẽ tốt hơn,hàng sạch_sẽ tốt,35,1,0,1
4,"Sản phẩm/dịch vụ giống mô tả. Sp đóng gói sơ sài quá, không chắc chắn. giao hàng tạm chấp nhận được. chất lượng thì để xài mới có thể đánh giá được",1,sản phẩm dịch vụ giống mô tả sp đóng gói sơ sài quá không chắc chắn giao hàng tạm chấp nhận được chất lượng thì để xài mới có thể đánh giá được,sản_phẩm_dịch_vụ_giống_mô_tả sản_phẩm đóng_gói sơ_sài không_chắc_chắn giao_hàng tạm chấp_nhận chất_lượng xài mới_thể,149,1,1,1
5,Mình nhận hàng rồi shop ơi. sản phẩm y hình. Shop lấy đúng mẫu luôn. Giao hàng nhanh nữa. cảm ơn shop nhiều,1,mình nhận hàng rồi shop ơi sản phẩm y hình shop lấy đúng mẫu luôn giao hàng nhanh nữa cảm ơn shop nhiều,hàng cửa_hàng sản_phẩm y_hình cửa_hàng mẫu giao_hàng cửa_hàng,103,0,0,1
4,Sản phẩm/dịch vụ giống mô tả. Chất lượng sản phẩm/dịch vụ khá tốt. Gửi sản phẩm/vé dịch vụ nhanh. sản phẩm và giá tót,1,sản phẩm dịch vụ giống mô tả chất lượng sản phẩm dịch vụ khá tốt gửi sản phẩm vé dịch vụ nhanh sản phẩm và giá tót,sản_phẩm_dịch_vụ_giống_mô_tả chất_lượng sản_phẩm_dịch_vụ_tốt gửi_sản_phẩm vé_dịch_vụ sản_phẩm giá tót,114,2,0,1
